codigo,nome,unidade_medida
10301215,"IOGURTE POLPA DE FRUTA MORANGO - LT",lt
10509265,"LARANJA - KG",kg
10719090,"LEITE EM PO DESNATADO - KG",kg
10719100,"LEITE EM PO INTEGRAL - KG",kg
10719135,"LEITE UHT ZERO LACTOSE - LT",lt
10509315,"LIMAO - KG",kg
10121035,"LINGUICA CALABRESA - KG",kg
10707155,"LOURO DESIDRATADO - KG",kg
10509350,"MACA NACIONAL - KG",kg
10705077,"MACARRAO ESPAGUETE - KG",kg
10705194,"MACARRAO PARAFUSO - KG",kg
10509370,"MAMAO - KG",kg
10309050,"MARGARINA CREMOSA C/ SAL - KG",kg
10509425,"MELANCIA - KG",kg
10509430,"MELAO - KG",kg
10701330,"MILHO CANJICA - KG",kg
10745135,"MILHO VERDE EM CONSERVA - KG",kg
10753142,"MINGAU MULTICEREAIS - KG",kg
10101075,"MOCOTO - KG",kg
10709130,"MOLHO DE TOMATE TRADICIONAL - KG",kg
20101150,"MUCILON ARROZ - KG",kg
10753155,"NESTON - KG",kg
10749065,"OLEO DE SOJA - LT",lt
10707260,"OREGANO DESIDRATADO - KG",kg
10513010,"OVO DE GALINHA - UN",un
10739185,"PACOCA / PACOQUINHA - UN",un
10101095,"PALETA BOVINA - KG",kg
10767260,"PAO FRANCES - UN",un
10767286,"PAO INTEGRAL - UN",un
10767296,"PAO MASSA FINA - UN",un
10101100,"PATINHO - KG",kg
10739195,"PE DE MOLEQUE - UN",un
10109085,"PEITO DE FRANGO S/ OSSO - KG",kg
10505150,"PEPINO - KG",kg
10505156,"PIMENTA DE CHEIRO - KG",kg
10315015,"POLPA DE ACEROLA - KG",kg
10315035,"POLPA DE CAJA - KG",kg
10315045,"POLPA DE CAJU - KG",kg
10315065,"POLPA DE GOIABA - KG",kg
10315095,"POLPA DE MANGA - KG",kg
10501190,"REPOLHO BRANCO - KG",kg
10707310,"SAL REFINADO - KG",kg
10707315,"SALSINHA DESIDRATADA - KG",kg
10701380,"SOJA TEXTURIZADA MEDIA - KG",kg
10505190,"TOMATE - KG",kg
10101120,"TRIPA GROSSA BOVINA - KG",kg
10707390,"VINAGRE DE ALCOOL - LT",lt
40101005,"AGUA SANITARIA - LT",lt
40101011,"ALCOOL GEL - LT",kg
30105007,"BASE MARMITEX C/ 3 DIVISORIAS 1200ML",un
30109070,"BOBINA SACO DE PLASTICO 30 X 40",bob
30103005,"COLHER REFEICAO DESCARTAVEL",un
30101005,"COPO DESCARTAVEL 180 ML",un
30101015,"COPO DESCARTAVEL 300 ML",un
30101016,"COPO DESCARTAVEL 500 ML",un
30101050,"COPO TERMICO 200ML",un
40101037,"DESINCRUSTANTE DETERGENTE - LT",lt
40101035,"DESINFETANTE - LT",lt
40101040,"DETERGENTE - LT",lt
40101041,"DETERGENTE CLORADO - LT",lt
40103040,"ESPONJA DUPLA FACE",un
40103042,"FIBRA DE LIMPEZA PESADA",un
40101127,"LIMPA VIDRO 500 ML",un
30301011,"LUVA DE VINIL S/ PO G",un
30301015,"MASCARA DESCARTAVEL",un
30301030,"PALITO DE DENTE - CX",cx
30110000,"PAPEL FILME PVC 380X8X800M",bob
40103071,"PAPEL HIGIENICO 30M",un
40103059,"PAPEL TOALHA - 250 UN",un
40103054,"PAPEL TOALHA - PCT 1000 UN",pc
30101025,"POTE DESCARTAVEL 100 ML",un
30101024,"POTE DESCARTAVEL 200 ML",un
40103057,"ROLO PANO MULTIUSO (600UN)",rl
40101062,"SABONETE LIQUIDO ANTISEPTICO - LT",lt
30109005,"SACO DE AMOSTRA",un
40101100,"SACO DE LIXO 200 LT",un
30109067,"SACO P/ HAMBURGUER 18X18",un
40101105,"SANITIZANTE P/ VERDURAS E LEGUMES - LT",lt
30105055,"TAMPA MARMITEX C/ 3 DIVISORIAS 1200ML",un
30101031,"TAMPA POTE/COPO DESCARTAVEL 100ML",un
30101030,"TAMPA POTE/COPO DESCARTAVEL 150/200/250",un
30101033,"TAMPA POTE/COPO DESCARTAVEL 300ML",un
30101032,"TAMPA POTE/COPO DESCARTAVEL 400/500 ML",un
30301020,"TOUCA DESCARTAVEL",un
